iter	Passed	Remaining
0	0	88
1	1	80
2	2	82
3	3	83
4	4	84
5	5	80
6	5	77
7	6	75
8	7	74
9	8	72
10	8	71
11	9	70
12	10	68
13	10	67
14	11	66
15	12	65
16	13	64
17	13	62
18	14	61
19	15	60
20	15	59
21	16	59
22	17	58
23	18	58
24	19	58
25	20	57
26	20	56
27	21	55
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	49
36	28	48
37	28	47
38	29	46
39	30	45
40	30	44
41	31	43
42	32	43
43	33	42
44	34	42
45	35	41
46	35	40
47	36	39
48	37	39
49	38	38
50	39	37
51	39	36
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
